plate,experiment,row,col,date_ster,date_germ,date_inoc,date_process,transfer_h,strain1_od,strain2_od,strain1,strain2,plant,plate_filled_with,Type,light_lx,temp_dn,MS,MES,pH,notes,Incubator_germ,Incubator_growth
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B,2,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B,3,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B,4,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B,5,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B,6,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,N2C3-_crim,WCS365-_neon,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then in W, 3 sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B,8,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B,9,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B,10,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B,11,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B,12,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,C,1,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,NA,WCS365-_neon,None,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then straight into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,C,2,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,NA,WCS365-_neon,None,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then straight into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,C,3,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,NA,WCS365-_neon,None,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then straight into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,C,4,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,NA,WCS365-_neon,None,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then straight into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,C,5,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,NA,WCS365-_neon,None,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then straight into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,C,6,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,NA,WCS365-_neon,None,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then straight into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,C,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,NA,N2C3-_crim,None,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then straight into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,C,8,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,NA,N2C3-_crim,None,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then straight into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,C,9,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,NA,N2C3-_crim,None,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then straight into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,C,10,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,NA,N2C3-_crim,None,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then straight into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,C,11,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,NA,N2C3-_crim,None,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then straight into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,C,12,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,NA,N2C3-_crim,None,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then straight into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,D,1,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0,WCS365-_neon,MOCK,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then dipped in MOCK, then into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,D,2,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0,WCS365-_neon,MOCK,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then dipped in MOCK, then into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,D,3,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0,WCS365-_neon,MOCK,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then dipped in MOCK, then into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,D,4,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0,WCS365-_neon,MOCK,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then dipped in MOCK, then into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,D,5,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,D,6,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,D,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0,N2C3-_crim,MOCK,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then dipped in MOCK, then into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,D,8,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0,N2C3-_crim,MOCK,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then dipped in MOCK, then into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,D,9,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0,N2C3-_crim,MOCK,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then dipped in MOCK, then into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,D,10,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0,N2C3-_crim,MOCK,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then dipped in MOCK, then into well",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,D,11,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,D,12,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,E,1,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0,0,MOCK,MOCK,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in mock, then well ",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,E,2,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0,0,MOCK,MOCK,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in mock, then well ",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,E,3,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0,0,MOCK,MOCK,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in mock, then well ",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,E,4,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,E,5,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,E,6,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,E,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,E,8,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,E,9,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,E,10,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,E,11,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,E,12,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,F,1,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,F,2,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,F,3,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,F,4,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,F,5,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,F,6,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,F,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,F,8,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,F,9,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,F,10,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,F,11,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,F,12,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,G,1,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,G,2,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,G,3,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,G,4,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,G,5,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,G,6,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,G,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,G,8,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,G,9,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,G,10,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,G,11,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,G,12,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,H,1,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,H,2,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,H,3,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,H,4,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,H,5,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,H,6,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,H,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,H,8,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,H,9,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,H,10,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,H,11,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,H,12,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateB_T0_Dip_Trial4,2024-02_Peffect_Trial4,A,1,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,WCS365-_neon,N2C3-_crim,col0,,Priority,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateB_T0_Dip_Trial4,2024-02_Peffect_Trial4,A,2,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,WCS365-_neon,N2C3-_crim,col0,,Priority,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
