experiment,transfer_h,strain,fluor,plant,germ_plate,strain_number,abs_600,bio_rep,tech_rep,CFU,dilution,mL_plated,total_volume,CFU_mL,CFU_well
2024-02_Peffect_Trial4,24,WCS365,neon,col0,A,strain 1,NA,3,C,19,-3,0.005,0.5,3800000,1900000
2024-02_Peffect_Trial4,24,WCS365,neon,col0,B,strain 1,NA,4,A,12,-3,0.005,0.5,2400000,1200000
2024-02_Peffect_Trial4,24,WCS365,neon,col0,B,strain 1,NA,4,B,13,-3,0.005,0.5,2600000,1300000
2024-02_Peffect_Trial4,24,WCS365,neon,col0,B,strain 1,NA,4,C,15,-3,0.005,0.5,3000000,1500000
2024-02_Peffect_Trial4,24,WCS365,neon,col0,B,strain 1,NA,5,A,52,-2,0.005,0.5,1040000,520000
2024-02_Peffect_Trial4,24,WCS365,neon,col0,B,strain 1,NA,5,B,60,-2,0.005,0.5,1200000,600000
2024-02_Peffect_Trial4,24,WCS365,neon,col0,B,strain 1,NA,5,C,52,-2,0.005,0.5,1040000,520000
2024-02_Peffect_Trial4,24,WCS365,neon,col0,B,strain 1,NA,6,A,21,-3,0.005,0.5,4200000,2100000
2024-02_Peffect_Trial4,24,WCS365,neon,col0,B,strain 1,NA,6,B,10,-3,0.005,0.5,2000000,1000000
2024-02_Peffect_Trial4,24,WCS365,neon,col0,B,strain 1,NA,6,C,14,-3,0.005,0.5,2800000,1400000
2024-02_Peffect_Trial4,24,N2C3,crim,overnight,,strain 2,0.001,1,A,15,-3,0.005,0.275,3000000,825000
2024-02_Peffect_Trial4,24,N2C3,crim,overnight,,strain 2,0.001,1,B,11,-3,0.005,0.275,2200000,605000
2024-02_Peffect_Trial4,24,N2C3,crim,overnight,,strain 2,0.001,1,C,6,-3,0.005,0.275,1200000,330000
2024-02_Peffect_Trial4,24,WCS365,neon,overnight,,strain 2,0.001,1,A,45,-2,0.005,0.275,900000,247500
2024-02_Peffect_Trial4,24,WCS365,neon,overnight,,strain 2,0.001,1,B,53,-2,0.005,0.275,1060000,291500
2024-02_Peffect_Trial4,24,WCS365,neon,overnight,,strain 2,0.001,1,C,47,-2,0.005,0.275,940000,258500
